brand_id,brand,p_id,name,price,colour,ratingCount,avg_rating
27.0,addyvero,19164944.0,addyvero women black relaxed high-rise easy wash trousers,1699.0,black,6.0,4.833333333
783.0,sassafras,9552603.0,sassafras women black slim fit mid-rise clean look stretchable cropped jeans,1999.0,black,7252.0,4.09666299
845.0,style quotient,10182385.0,style quotient women white self design open front shrug,1599.0,white,1559.0,4.433611289
135.0,bitiya by bhama,11139228.0,bitiya by bhama pink & white ready to wear lehenga with blouse,2599.0,pink,992.0,4.212701613
750.0,roadster,12279352.0,roadster women blue washed denim trucker jacket,1599.0,blue,1112.0,4.450539568
783.0,sassafras,12288052.0,sassafras women white twill parallel trousers,1699.0,white,10786.0,4.179491934
962.0,vishudh,13676096.0,vishudh off-white & pink printed dupatta,949.0,off white,71.0,3.507042254
37.0,ahalyaa,14951330.0,ahalyaa women beige floral printed regular gotta patti kurta with palazzos & with dupatta,6000.0,beige,1741.0,3.545089029
583.0,mitera,15012182.0,mitera pink & silver-toned paisley zari silk blend banarasi saree,5199.0,pink,1279.0,4.314308053
7.0,98 degree north,15187646.0,98 degree north women black ribbed pure cotton long sleeves pullover,2099.0,black,308.0,4.405844156
363.0,here&now,15886890.0,here&now women beige & orange ethnic motifs printed pure cotton empire kurti,999.0,beige,196.0,4.37244898
903.0,tokyo talkies,16108350.0,tokyo talkies women bright yellow solid high-rise shorts,799.0,yellow,64.0,4.25
804.0,shaye,16156728.0,shaye cream-coloured empire top,2449.0,cream,657.0,4.220700152
212.0,deebaco,17662704.0,deebaco women magenta cotton blazer with trousers,3199.0,magenta,220.0,3.918181818
389.0,inddus,18011298.0,inddus lavender & gold-toned banarasi cotton unstitched dress material,5799.0,lavender,114.5,4.347979798
544.0,mango,18319606.0,mango women green self-design tweed single-breasted blazer,6590.0,green,9.0,4.777777778
824.0,sirikit,18805962.0,sirikit black & white abstract printed basic jumpsuit,1599.0,black,451.0,4.615147732
253.0,emprall,18815858.0,emprall women pink solid pleated mini skirts,1299.0,pink,893.0,4.452517686
983.0,wisstler,10197809.0,wisstler women black & off-white printed open front longline shrug,1199.0,black,1335.0,4.28988764
418.0,jaipur kurti,11054006.0,jaipur kurti women white regular cropped trousers,1149.0,white,6590.0,4.064643399
783.0,sassafras,11064282.0,sassafras women cream-coloured solid quilted jacket,1999.0,cream,701.0,4.181169757
750.0,roadster,11991214.0,roadster women mustard yellow solid hooded sweatshirt,1199.0,mustard,273.0,4.245421245
389.0,inddus,12631352.0,inddus purple & golden silk blend woven design banarasi saree,4699.0,purple,1644.0,4.472019465
353.0,h&m,12696136.0,h&m women black cotton jersey cycling shorts,699.0,black,1028.0,4.559338521
239.0,dressberry,13179468.0,dressberry women magenta & white floral printed basic jumpsuit,2199.0,magenta,282.0,4.124113475
75.0,anouk,13791594.0,anouk women yellow & white printed kurta with palazzos,1999.0,yellow,7012.0,4.245864233
554.0,mast & harbour,14006530.0,mast & harbour women navy blue boyfriend fit stretchable jeans,1699.0,navy blue,621.0,4.07568438
488.0,kvsfab,14861658.0,kvsfab women multicoloured handloom cotton unstitched dress material,3199.0,multi,108.0,4.361111111
242.0,dupatta bazaar,14964708.0,dupatta bazaar orange & green dyed art silk bandhani dupatta,899.0,orange,30.0,4.366666667
125.0,berrylush,15249734.0,berrylush women enchanting sea green 3 piece printed jumpsuit,3200.0,sea green,75.0,3.8
841.0,street 9,15302810.0,street 9 maroon floral georgette fitted crop top,1599.0,maroon,2824.0,4.268413598
282.0,fabpixel,18743884.0,fabpixel orange & gold-toned embroidered sequinned shibori semi-stitched lehenga & unstitched blouse with,9999.0,orange,14.0,4.0
708.0,purple state,18873480.0,purple state women black solid single-breasted casual blazer,3499.0,black,5.0,4.6
692.0,popwings,18977850.0,popwings women black solid pencil  skirts,1299.0,black,9.0,4.222222222
444.0,kalini,18998722.0,kalini red floral print tie-up neck top,1999.0,red,795.0,4.0769555135
554.0,mast & harbour,1454592.0,mast & harbour women black formal trousers,2199.0,black,1581.0,3.931688805
903.0,tokyo talkies,10854022.0,tokyo talkies women green solid hooded sweatshirt,1249.0,green,1856.0,4.457974138
847.0,stylestone,11333080.0,stylestone women black & white georgette printed open front shrug,999.0,black,774.0,4.239018088
943.0,van heusen woman,12487436.0,van heusen woman navy blue solid slim-fit single-breasted formal blazer,3799.0,navy blue,160.0,4.475
482.0,kotty,13255584.0,kotty women blue flared high-rise clean look jeans,1999.0,blue,2682.0,4.131245339
731.0,rare,13277228.0,rare navy blue a-line midi skirt,1999.0,navy blue,761.0,4.459921156
691.0,popnetic,13287918.0,popnetic women black solid pure cotton crop jacket,1999.0,black,1488.0,4.309139785
618.0,nayo,13706216.0,nayo burgundy  white floral printed pure cotton top,1199.0,burgundy,1082.0,3.964879852
776.0,sangria,13882506.0,sangria pink & golden printed pure cotton dupatta,1699.0,pink,13.0,4.538461538
779.0,saree mall,14006702.0,saree mall pink & blue floral dyed banarasi sarees,7699.0,pink,821.0,4.183922046
404.0,inweave,15760922.0,inweave women beautiful off white printed floral fantasy jumpsuit,3299.0,off white,313.0,3.322683706
467.0,khushal k,17048604.0,khushal k women green & pink printed pure cotton kurta with palazzos & dupatta,5299.0,green,1590.0,4.266037736
996.0,yoonoy,17337982.0,yoonoy women pink solid organic cotton co-ords,4290.0,pink,143.0,4.363636364
554.0,mast & harbour,17819920.0,mast & harbour green & orange floral print regular top,1499.0,green,1244.0,4.294485578400001
133.0,biba,19087214.0,biba pink & white unstitched dress material,1799.0,pink,2345.0,4.2253347928
147.0,bostreet,19215762.0,bostreet women brown solid mini asymmetric skirts,2199.0,brown,3446.0,4.1561840072
94.0,aspora,19294032.0,aspora black & red printed ready to wear lehenga & blouse with dupatta,7995.0,black,4547.0,4.0870332216
413.0,ives,8375271.0,ives olive green shirt style top,1099.0,olive,5648.0,4.017882436
688.0,pluss,8715139.0,pluss olive green a-line top,1999.0,olive,4189.0,4.018858916
376.0,hrx by hrithik roshan,9965795.0,hrx by hrithik roshan women white solid training sporty jacket,2799.0,white,312.0,4.310897436
509.0,libas,10356859.0,libas floral bliss side pocket cotton kurta set,2499.0,pink,12568.0,3.963239975
135.0,bitiya by bhama,10729274.0,bitiya by bhama girls pink & white printed ready to wear lehenga & blouse with dupatta,2999.0,pink,393.0,4.022900763
983.0,wisstler,11101312.0,wisstler women blue printed regular fit shorts,899.0,blue,1455.0,3.99862543
554.0,mast & harbour,11973294.0,mast & harbour women dusty pink shimmer effect striped front-open sweater,2199.0,pink,373.0,4.36461126
793.0,sera,13997472.0,sera women blue & black printed tie-up shrug,1494.0,blue,70.0,4.028571429
75.0,anouk,16846766.0,anouk sea green floral satin saree,3199.0,sea green,35.0,4.428571429
868.0,taavi,16911758.0,taavi women green ethnic motifs printed pure cotton bagru dupatta,1699.0,green,10.0,4.6
544.0,mango,17607846.0,mango women dusty pink solid double breasted blazer,5990.0,rose,11.8,4.532631578999999
750.0,roadster,17640612.0,roadster women blue slim tapered fit low distress light fade stretchable jeans,3299.0,blue,13.6,4.465263158
530.0,m&h easy,17728664.0,m&h easy women navy blue solid playsuit,1599.0,navy blue,15.4,4.397894737
133.0,biba,17740568.0,biba yellow & red printed pure cotton unstitched dress material,899.0,yellow,17.2,4.330526316
596.0,montrez,18587700.0,montrez white & pink printed denim jacket & skirt,1499.0,white,19.0,4.263157895
903.0,tokyo talkies,18787500.0,tokyo talkies women blue pleated trousers,1299.0,blue,36.0,3.777777778
147.0,bostreet,19215770.0,bostreet women burgundy solid flared skirts,2199.0,burgundy,113.0,4.162573099499999
258.0,espresso,2402042.0,espresso black solid open front shrug,999.0,black,190.0,4.547368421
793.0,sera,3452046.0,sera blue & peach-coloured printed playsuit,1494.0,blue,1011.0,4.150346192
783.0,sassafras,9070021.0,sassafras beige & black animal print shirt style top,1399.0,beige,3845.0,4.269180754
868.0,taavi,10128417.0,taavi women navy blue & white woven design ikat empire sustainable pure cotton top with smocked detailing,1499.0,navy blue,744.0,4.331989247
750.0,roadster,12178108.0,roadster women blue washed denim jacket,2299.0,blue,602.0,4.509966777
945.0,varanga,12413214.0,varanga women mustard yellow floral yoke embroidered straight kurta,1999.0,mustard,2426.0,4.254328112
176.0,chkokko,12865416.0,chkokko women black side panelled regular fit double layered running shorts,2665.0,black,291.0,4.182130584
806.0,shewill,14088428.0,shewill mustard brown & green cotton blend unstitched dress material,3199.0,mustard,96.0,4.03125
776.0,sangria,15546696.0,sangria women maroon kaani woollen woven shawl,2699.0,maroon,10.0,4.3
603.0,my little lambs,15954768.0,my little lambs girls pink checked & printed pure cotton top & tiered skirt,3250.0,pink,72.0,4.208333333
353.0,h&m,17124538.0,h&m women white rib-knit cardigan,1499.0,white,86.0,4.662790698
212.0,deebaco,17527928.0,deebaco women pink cotton summer co-ords,3399.0,pink,28.0,4.428571429
353.0,h&m,18131688.0,h&m women black wide linen-blend trousers,1499.0,black,122.0,4.475409836
943.0,van heusen woman,18152576.0,van heusen woman maroon solid single-breasted casual blazer,3999.0,maroon,147.0,4.3597979415
931.0,urbanic,18328804.0,urbanic women black jeans,1790.0,black,172.0,4.244186047
368.0,hive91,18485216.0,hive91 women black printed a-line maxi skirts,1349.0,black,88.5,4.2220930235
46.0,alaya by stage3,18724182.0,alaya by stage3 green saree,3795.0,green,5.0,4.2
783.0,sassafras,2046268.0,sassafras navy blue solid basic jumpsuit,2199.0,navy blue,419.0,4.303102625
776.0,sangria,8420329.0,sangria green floral high-low pure cotton top with bell sleeves,1899.0,green,738.0,3.540650407
845.0,style quotient,9009991.0,style quotient off-white solid open front shrug,1499.0,off white,384.0,4.033854167
841.0,street 9,12277606.0,street 9 women olive green & brown camouflage print cargos,2299.0,olive,2353.0,4.346366341
171.0,chemistry,13526690.0,chemistry women blue regular fit mid-rise clean look stretchable cropped jeans,1999.0,blue,392.0,3.941326531
242.0,dupatta bazaar,13552234.0,dupatta bazaar black solid dupatta,599.0,black,232.0,4.547413793
583.0,mitera,14850348.0,mitera brown & gold-coloured ethnic motifs woven design silk blend banarasi saree,5199.0,brown,772.0,4.303108808
829.0,slazenger,15789142.0,slazenger women black running sporty rapid-dry jacket,2499.0,black,227.0,4.220264317
38.0,ahika,16600750.0,ahika women teal ethnic motifs yoke design kurta with trousers & with dupatta,3748.0,teal,1268.0,4.095425868
772.0,salwar studio,17751840.0,salwar studio navy blue printed unstitched dress material,1095.0,navy blue,5.0,4.2
554.0,mast & harbour,17819832.0,mast & harbour white & pink floral print smocked top,1599.0,white,8.5,4.5583333335
890.0,the souled store,18446902.0,the souled store women blue tie dye printed t-shirt & joggers,2499.0,blue,12.0,4.916666667
287.0,fashion basket,18451644.0,fashion basket women pink lehenga choli,3699.0,pink,51.0,3.31372549
1014.0,zink london,18604646.0,zink london women blue floral  lace design skirts,1999.0,blue,198.6,3.5006635352
331.0,ginger by lifestyle,19189664.0,ginger by lifestyle women beige printed sweatshirt,1099.0,beige,346.2,3.6876015804
147.0,bostreet,19215754.0,bostreet women maroon flared skirts,2499.0,maroon,493.79999999999995,3.8745396256
698.0,powersutra,19289258.0,powersutra women blue solid single breasted formal blazers,4999.0,blue,641.4,4.0614776708
