brand,colour,avg_rating
soch,blue,4.331201674
styli,beige,4.366273178
jbn creation,blue,4.401344681
tokyo talkies,grey,4.436416185
kassually,grey,3.53125
anouk,beige,4.092243187
high star,blue,4.325
taavi,navy blue,4.346153846
anouk,pink,4.038961039
kvsfab,pink,4.363636364
20dresses,black,4.611111111
mango,off white,4.51984127
shae by sassafras,maroon,4.428571429
mango,black,4.25
patrorna,rose,4.085714286
forever 21,pink,3.921428572
street 9,blue,3.757142857
dressberry,green,3.592857143
fashion basket,blue,3.428571429
biba,pink,3.6484255
juniper,off white,3.86827957
dolce crudo,blue,4.103869654
hangup,blue,2.888888889
antheaa,sea green,4.239416058
vishudh,navy blue,3.828985507
tokyo talkies,green,4.572528883
mast & harbour,mustard,4.53125
indya,teal,4.392857143
anouk,teal,3.99122807
inddus,teal,4.15
broadstar,burgundy,4.156760204
anouk,pink,4.163520408
forever 21,cream,4.170280612
divine international trading co,turquoise blue,4.177040817
aturabi,black,4.183801021
fame forever by lifestyle,blue,4.190561225
vero moda,beige,4.197321429
biba,rust,4.204081633
deewa,mustard,3.946804713
style quotient,pink,3.985714286
weavers villa,off white,4.569230769
jainish,maroon,4.424523642
sassafras,grey,4.279816514
here&now,navy blue,4.355035605
varanga,pink,3.939393939
moda rapido,maroon,4.108585859
vishudh,blue,4.277777778
blue giraffe,yellow,4.375661376
levis,white,4.473544973
h&m,white,4.571428571
stylee lifestyle,navy blue,4.418138707
puma,pink,4.264848844
darzi,white,4.11155898
zainab chottani,grey,3.958269117
scorpius,pink,3.804979253
bhama couture,mustard,3.982978723
ahika,green,3.85701107
roadster,blue,3.994680851
pluss,purple,4.147058824
fablestreet,black,4.514084507
h&m,black,4.833333333
soch,blue,4.416666666
house of pataudi,green,4
mitera,black,3.943005181
mango,green,4.25829975
harpa,peach,4.57359432
berrylush,blue,4.888888889
jc collection,black,4.698050932
iuga,green,4.507212975
the pink moon,teal,4.316375018
soch,red,4.125537061
tikhi imli,pink,3.934699104
anayna,peach,4.128
sassafras,black,4.079147641
ahalyaa,maroon,4.215628357
513,black,4.573529412
harpa,pink,3.862652869
m&h easy,blue,4.323529412
dupatta bazaar,navy blue,4.536585366
biba,off white,4.502667683
h&m,pink,4.46875
cutecumber,peach,4.530133929
mango,beige,4.591517857
mast & harbour,black,4.652901786
urbanic,white,4.714285714
nike,purple,4.56300551
bitterlime,olive,4.411725306
q-rious,black,4.260445101
aasi - house of nayo,black,4.109164897
sassafras,pink,4.423380727
roadster,olive,4.553398058
vastranand,yellow,4.12522686
mast & harbour,white,4.120481928
campus sutra,blue,4.171352075
taavi,purple,4.222222222
marks & spencer,beige,4.014957265
harvard,black,3.807692308
tokyo talkies,mustard,4.032786885
kbz,cream,4.677419355
m&h easy,blue,4.357142857
harpa,navy blue,4.478571429
h&m,green,4.6
gerua,navy blue,4.54917593
fashion you,orange,4.498351859
fashion basket,red,4.447527789
street 9,green,4.396703718
tokyo talkies,white,4.314781022
dolce crudo,white,3.807748538
pashtush,navy blue,4.170731707
dressberry,olive,4.333333333
sangria,maroon,3.528985507
tokyo talkies,olive,5
anubhutee,teal,3.55721393
zigo,black,4.114285714
sangria,sea green,3.885714286
la aimee,brown,3.657142857
woowzerz,pink,3.428571429
sangria,pink,3.582857143
mango,green,3.737142857
kiroshe by kiran,black,3.891428572
stylee lifestyle,black,4.045714286
forever new,blue,4.2
mayra,black,3.919075145
anouk,red,4.076846307
vishudh,grey,4.271828666
v&m,black,3.847457627
campus sutra,brown,3.36
zink london,mustard,4.043478261
jaipur attire,white,3.79966611
ira soleil,pink,3.642857143
mango,black,4.588235294
mitera,pink,4.152173913
safaa,burgundy,4.295709761
mayra,teal,4.439245609
h&m,pink,4.582781457
jc collection,yellow,4.25690797
urbanic,brown,3.931034483
fabpixel,green,4.4
max,lime green,4.352960527
chemistry,blue,4.305921053
global desi,mustard,4.159663866
mast & harbour,blue,3.876
m&h easy,charcoal,4.456790123
dupatta bazaar,white,4.382978723
jockey,black,4.333333333
h&m,blue,4.153846154
mayra,black,3.769230769
warthy ent,yellow,4
vero moda,black,4.4
style quotient,black,4
mango,white,4.25862069
urbanic,white,4.517241379
urbanic,black,4.509031198
nalli next,pink,4.500821018
biba,pink,4.492610837
fashor,pink,4.484400657
roadster,blue,4.476190476
inweave,mustard,4
campus sutra,grey,4.419354839
rang gali,orange,3.772727273
vero moda,grey,3.6
shae by sassafras,navy blue,3.95625
street 9,peach,4.3125
sassafras,blue,3.632653061
varanga,orange,3.543599258
vastranand,red,3.454545455
darzi,white,3.428571429
divine international trading co,turquoise blue,3.73015873
styli,white,4.031746032
kalini,fluorescent green,4.333333333
anouk,beige,4.27593361
mango,off white,4.218533886
vishudh,red,4.10373444
high star,black,4.530526316
rajnandini,yellow,3.6
mango,olive,4.1125
hypernation,black,4.625
levis,blue,4.6
jc collection,black,4.583908046
vero moda,brown,4.567816092
united liberty,red,4.551724138
clora creation,black,4.590038314
femella,lavender,4.628352491
